"","x"
"1","AF3_Theta_power_OLCTS_StandardBand_Closed"
"2","AF3_Alpha_power_OLCTS_StandardBand_Closed"
"3","AF3_Beta_power_OLCTS_StandardBand_Closed"
"4","AF3_Gamma_power_OLCTS_StandardBand_Closed"
"5","AF3_IAF_OLCTS_StandardBand_Closed"
"6","AF3_IAF_Power_OLCTS_StandardBand_Closed"
"7","F7_Theta_power_OLCTS_StandardBand_Closed"
"8","F7_Alpha_power_OLCTS_StandardBand_Closed"
"9","F7_Beta_power_OLCTS_StandardBand_Closed"
"10","F7_Gamma_power_OLCTS_StandardBand_Closed...141"
"11","F7_IAF_OLCTS_StandardBand_Closed"
"12","F7_IAF_Power_OLCTS_StandardBand_Closed"
"13","F3_Theta_power_OLCTS_StandardBand_Closed"
"14","F3_Alpha_power_OLCTS_StandardBand_Closed"
"15","F3_Beta_power_OLCTS_StandardBand_Closed"
"16","F3_Gamma_power_OLCTS_StandardBand_Closed"
"17","F3_IAF_OLCTS_StandardBand_Closed"
"18","F3_IAF_Power_OLCTS_StandardBand_Closed"
"19","FC5_Theta_power_OLCTS_StandardBand_Closed"
"20","FC5_Alpha_power_OLCTS_StandardBand_Closed"
"21","FC5_Beta_power_OLCTS_StandardBand_Closed"
"22","FC5_Gamma_power_OLCTS_StandardBand_Closed"
"23","FC5_IAF_OLCTS_StandardBand_Closed"
"24","FC5_IAF_Power_OLCTS_StandardBand_Closed"
"25","T7_Theta_power_OLCTS_StandardBand_Closed"
"26","T7_Alpha_power_OLCTS_StandardBand_Closed"
"27","T7_Beta_power_OLCTS_StandardBand_Closed"
"28","T7_Gamma_power_OLCTS_StandardBand_Closed"
"29","T7_IAF_OLCTS_StandardBand_Closed"
"30","T7_IAF_Power_OLCTS_StandardBand_Closed"
"31","P7_Theta_power_OLCTS_StandardBand_Closed"
"32","P7_Alpha_power_OLCTS_StandardBand_Closed"
"33","P7_Beta_power_OLCTS_StandardBand_Closed"
"34","P7_Gamma_power_OLCTS_StandardBand_Closed"
"35","P7_IAF_OLCTS_StandardBand_Closed"
"36","P7_IAF_Power_OLCTS_StandardBand_Closed"
"37","O1_Theta_power_OLCTS_StandardBand_Closed"
"38","O1_Alpha_power_OLCTS_StandardBand_Closed"
"39","O1_Beta_power_OLCTS_StandardBand_Closed"
"40","O1_Gamma_power_OLCTS_StandardBand_Closed"
"41","O1_IAF_OLCTS_StandardBand_Closed"
"42","O1_IAF_Power_OLCTS_StandardBand_Closed"
"43","O2_Theta_power_OLCTS_StandardBand_Closed"
"44","O2_Alpha_power_OLCTS_StandardBand_Closed"
"45","O2_Beta_power_OLCTS_StandardBand_Closed"
"46","O2_Gamma_power_OLCTS_StandardBand_Closed"
"47","O2_IAF_OLCTS_StandardBand_Closed"
"48","O2_IAF_Power_OLCTS_StandardBand_Closed"
"49","P8_Theta_power_OLCTS_StandardBand_Closed"
"50","P8_Alpha_power_OLCTS_StandardBand_Closed"
"51","P8_Beta_power_OLCTS_StandardBand_Closed"
"52","P8_Gamma_power_OLCTS_StandardBand_Closed"
"53","P8_IAF_OLCTS_StandardBand_Closed"
"54","P8_IAF_Power_OLCTS_StandardBand_Closed"
"55","T8_Theta_power_OLCTS_StandardBand_Closed"
"56","T8_Alpha_power_OLCTS_StandardBand_Closed"
"57","T8_Beta_power_OLCTS_StandardBand_Closed"
"58","T8_Gamma_power_OLCTS_StandardBand_Closed"
"59","T8_IAF_OLCTS_StandardBand_Closed"
"60","T8_IAF_Power_OLCTS_StandardBand_Closed"
"61","FC6_Theta_power_OLCTS_StandardBand_Closed"
"62","FC6_Alpha_power_OLCTS_StandardBand_Closed"
"63","FC6_Beta_power_OLCTS_StandardBand_Closed"
"64","FC6_Gamma_power_OLCTS_StandardBand_Closed"
"65","FC6_IAF_OLCTS_StandardBand_Closed"
"66","FC6_IAF_Power_OLCTS_StandardBand_Closed"
"67","F4_Theta_power_OLCTS_StandardBand_Closed"
"68","F4_Alpha_power_OLCTS_StandardBand_Closed"
"69","F4_Beta_power_OLCTS_StandardBand_Closed"
"70","F4_Gamma_power_OLCTS_StandardBand_Closed"
"71","F4_IAF_OLCTS_StandardBand_Closed"
"72","F4_IAF_Power_OLCTS_StandardBand_Closed"
"73","F8_Theta_power_OLCTS_StandardBand_Closed"
"74","F8_Alpha_power_OLCTS_StandardBand_Closed"
"75","F8_Beta_power_OLCTS_StandardBand_Closed"
"76","F8_Gamma_power_OLCTS_StandardBand_Closed"
"77","F8_IAF_OLCTS_StandardBand_Closed"
"78","F8_IAF_Power_OLCTS_StandardBand_Closed"
"79","AF4_Theta_power_OLCTS_StandardBand_Closed"
"80","AF4_Alpha_power_OLCTS_StandardBand_Closed"
"81","AF4_Beta_power_OLCTS_StandardBand_Closed"
"82","AF4_Gamma_power_OLCTS_StandardBand_Closed"
"83","AF4_IAF_OLCTS_StandardBand_Closed"
"84","AF4_IAF_Power_OLCTS_StandardBand_Closed"
"85","AF3_Low.Beta_power_OLCTS_StandardBand_Closed"
"86","AF3_Upper.Beta_power_OLCTS_StandardBand_Closed"
"87","AF3_High.Beta_power_OLCTS_StandardBand_Closed"
"88","F7_Upper.Beta_power_OLCTS_StandardBand_Closed"
"89","F7_High.Beta_power_OLCTS_StandardBand_Closed"
"90","F7_Gamma_power_OLCTS_StandardBand_Closed...221"
"91","F3_Low.Beta_power_OLCTS_StandardBand_Closed"
"92","F3_Upper.Beta_power_OLCTS_StandardBand_Closed"
"93","F3_High.Beta_power_OLCTS_StandardBand_Closed"
"94","FC5_Low.Beta_power_OLCTS_StandardBand_Closed"
"95","FC5_Upper.Beta_power_OLCTS_StandardBand_Closed"
"96","FC5_High.Beta_power_OLCTS_StandardBand_Closed"
"97","T7_Low.Beta_power_OLCTS_StandardBand_Closed"
"98","T7_Upper.Beta_power_OLCTS_StandardBand_Closed"
"99","T7_High.Beta_power_OLCTS_StandardBand_Closed"
"100","P7_Low.Beta_power_OLCTS_StandardBand_Closed"
"101","P7_Upper.Beta_power_OLCTS_StandardBand_Closed"
"102","P7_High.Beta_power_OLCTS_StandardBand_Closed"
"103","O1_Low.Beta_power_OLCTS_StandardBand_Closed"
"104","O1_Upper.Beta_power_OLCTS_StandardBand_Closed"
"105","O1_High.Beta_power_OLCTS_StandardBand_Closed"
"106","O2_Low.Beta_power_OLCTS_StandardBand_Closed"
"107","O2_Upper.Beta_power_OLCTS_StandardBand_Closed"
"108","O2_High.Beta_power_OLCTS_StandardBand_Closed"
"109","P8_Low.Beta_power_OLCTS_StandardBand_Closed"
"110","P8_Upper.Beta_power_OLCTS_StandardBand_Closed"
"111","P8_High.Beta_power_OLCTS_StandardBand_Closed"
"112","T8_Low.Beta_power_OLCTS_StandardBand_Closed"
"113","T8_Upper.Beta_power_OLCTS_StandardBand_Closed"
"114","T8_High.Beta_power_OLCTS_StandardBand_Closed"
"115","FC6_Low.Beta_power_OLCTS_StandardBand_Closed"
"116","FC6_Upper.Beta_power_OLCTS_StandardBand_Closed"
"117","FC6_High.Beta_power_OLCTS_StandardBand_Closed"
"118","F4_Low.Beta_power_OLCTS_StandardBand_Closed"
"119","F4_Upper.Beta_power_OLCTS_StandardBand_Closed"
"120","F4_High.Beta_power_OLCTS_StandardBand_Closed"
"121","F8_Low.Beta_power_OLCTS_StandardBand_Closed"
"122","F8_Upper.Beta_power_OLCTS_StandardBand_Closed"
"123","F8_High.Beta_power_OLCTS_StandardBand_Closed"
"124","AF4_Low.Beta_power_OLCTS_StandardBand_Closed"
"125","AF4_Upper.Beta_power_OLCTS_StandardBand_Closed"
"126","AF4_High.Beta_power_OLCTS_StandardBand_Closed"
